,id,message,screen_name
38,1262803305878687744,"ai deus que me perdoe mas cheguei num ponto que não consigo mais ficar sozinha c a vó p ela só sabe falar de espírito e bolsonaro, a energia fica super pesada",RafaelyRamoss
39,1262803305710960640,RT @mc_caroloficial: A mulher que daria um jeito no bolsonaro https://t.co/CrDKktXPPD,rexpeitanat
40,1262803305442533377,"Capitão do Avaí, Betão confirma  testagem positiva para Covid-19 https://t.co/aWx2kHNTmZ",ge_avai
41,1262803305098555393,"RT @carloscezarcjr: Se estivéssemos sob governo do PT, nessas horas já teríamos um ""remédio cidadão"" (cloroquina) sendo distribuído no Bras…",engmarcelo35
42,1262803305081831425,"@DomDasThreads Atenção Brasil,  a única forma do Presidente governar,  é decretando o Art142,  assim convoca as forças armadas,  para retomada da ordem. 
#PresidenteDecreteoArt142
#FFAARetomemAOrdem https://t.co/IbQwpfWFZk",lia_easter
43,1262803304846934016,RT @carloscezarcjr: Estamos diante da maior fraude política da história?,JoseAdeildo
44,1262803304427532289,"RT @felipeneto: O caso João Pedro não é ""menino morre"". João Pedro foi ASSASSINADO pelo Estado, executado dentro de casa e em seguida teve…",jefnogueira
45,1262803304339423234,RT @zehdeabreu: Bolsonaro é muito burro. Sem quarentena a “quarentena meia-boca” não terá fim… A economia vai sofrer ainda mais. Aqui na NZ…,CarminhaDias3
46,1262803304276463618,"O ano é 2048
-Mãe tirei 10 
-Não fez mais que sua obrigação .
Em 2020 o país passava por uma pandemia ,meus estudos eram online ,Bolsonaro presidente ,eu estava de quarentena e eu ainda tentava salvar a adolêcencia de uma pobre jovem .
#SalvemBelParaMeninas",Ana_bReaL
47,1262803304209317889,"vai tomar no cu, é inadmissível meter o Flamengo em política, ainda mais com esse filho da puta maldito",ManeroCRF
48,1262803304196816897,"RT @nilmoretto: Joao foi assassinado, @g1. Corrija essa manchete, por favor.
A policia federal no RJ, comandada por quem o Bolsonaro botou…",matvcd
49,1262803304100364288,"RT @Renanaugusto_10: Como diz @FilipeRet

a caneta de um safado do governo, mata mais que um fuzil, podem filmar, televisionar, mas isso na…",dobalaaao_
50,1262803303945117696,RT @MonicaSeixas: Foi golpe. Bolsonaro é fascista. Doria é um oportunista. A ciência está certa. Quarentena é necessária. Cloroquina não fu…,isa_exe
51,1262803303311781889,"RT @MarceloCRedeTV: Alguém concebe que o chefe de estado mais poderoso do mundo, presidente do país com a medicina e indústria farmacêutica…",Anapaulacmarte2
52,1262803302800068608,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",Hiagokalil
53,1262803302410051586,"RT @veramagalhaes: Mas olha: a preocupação do presidente era com a escolta pessoal dos filhos, viu, gente? Não com investigações https://t.…",daniel_armani
54,1262803301910839297,"RT @carmelonetobr: O STF deu superpoderes a governadores e prefeitos para enfraquecer Bolsonaro, mas o tiro saiu pela culatra. Enquanto os…",Betedna
55,1262803301575393280,RT @mc_caroloficial: A mulher que daria um jeito no bolsonaro https://t.co/CrDKktXPPD,AquiaGabriel
56,1262803301541740545,RT @biazitagomes: Bolsonaro confiscou o dinheiro de contas do pis pasep ( contas teoricamente inativas) alegando que esse dinheiro seria ut…,Fatima61620464
57,1262803300908441600,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",XxTetinhas
58,1262803300384231425,"RT @MarcosQuezado1: O juiz da da 8ª Vara Federal Cível do Distrito Federal, Francisco Alexandre Ribeiro, negou na noite desta segunda-feira…",AmarilsaPi
59,1262803300342169602,RT @carmelonetobr: O Antagonista escreve que “o remédio do Bolsonaro pode matar ainda mais” e Mandetta declara que “pode provocar mortes em…,aluisiomb
60,1262803300073844738,"@Lello_Andress @UOLNoticias Ninguém se trata de COVID-19 com hidroxicloroquina. Isso é fake news. E sim, a saúde (de todos) deve estar sempre em primeiro lugar. Se há quem passe fome ficando em casa é porque o governo, que deveria ajudar, se omite e finge que não é com ele. O Presidente é parte do problema.",juliano_torres
61,1262803299968974848,"@DCM_online QUEM MANDOU MATAR MARIELLE? POR QUE? ELA INCOMODAVA ALGUÉM, CUJO SOBRENOME É BOLSONARO? VCS VÃO PAGAR E É DOBRADO CADA LÁGRIMA ROLADA NESSE MEU PENAR! FORABOLSONARO!",gassibe_iole
62,1262803299759206400,RT @randolfeap: Já pedimos investigação e acionamos o conselho de ética solicitando a cassação do mandato de Flávio Bolsonaro! Essa “quadri…,UmanicaMulher1
63,1262803299528572929,"RT @BrazilFight: ALEXANDRE GARCIA NO AQUI NA BAND
Se o presidente não fosse às manifestações diriam que ele é covarde. Como vai,dizem que e…",Ricardo96996374
64,1262803299440394240,RT @UOLNoticias: Docente que foi sem máscara a ato pró-Bolsonaro morre com suspeita de covid https://t.co/PppZq3t4Cl,Jean_Smegal
65,1262803299377569794,"É vergonhoso esse discurso, equipe de comunicação do @LulaOficial. Não cola com ninguém que estudou ou viveu na pele o período. A UPP não tinha política de confronto agora? Aquele massacre televisionado da Vila Cruzeiro era o que? https://t.co/B7usAl1V1x",fabzettel
66,1262803299230760960,"RT @um_milhao: @felipeneto preto favelado
em isolamento social
foge do vírus
mas não escapa do policial

quarentena
no leblon
netflix debai…",blwep
67,1262803299184660480,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",robertaa_spfc
68,1262803299176198150,"RT @VemPraRua_br: Se era contra o fundo partidário, por que usou o recurso para pagar advogado?
https://t.co/OvCUKhaGFb",prdmsd
69,1262803298865815552,RT @MonicaSeixas: Foi golpe. Bolsonaro é fascista. Doria é um oportunista. A ciência está certa. Quarentena é necessária. Cloroquina não fu…,glayssondaniel1
70,1262803298752638978,"RT @lucaswebero: Isso a Globo não mostra! #cloroquinasalva

Acabei de sair do hospital Unimed, onde o meu primo Sr Valter Branco, de 54 ano…",kazue_nishi
